iterations,value
100,0.0179828
600,0.0242328
1100,0.00815355
1600,0.0109516
2100,0.00523147
2600,0.00404051
3100,0.0099183
3600,0.00423941
4100,0.00396841
4600,0.00656977
5100,0.00946817
5600,0.00168817
6100,0.00189424
6600,0.00529342
7100,0.000553237
7600,0.00356324
8100,0.00702602
8600,0.00629044
9100,0.00562018
9600,0.00313906
10100,0.0046657
10600,0.00123753
11100,0.00386403
11600,0.00744822
12100,0.00340148
12600,0.00354496
13100,0.000330142
13600,0.00107105
14100,0.000518275
14600,0.00325006
15100,0.000764271
15600,0.00211743
16100,0.00183375
16600,0.00257441
17100,0.000657537
17600,0.00100838
18100,0.0103861
18600,0.00621073
19100,0.000865353
19600,0.000763426
20100,0.00664405
20600,0.00155602
21100,0.00233709
21600,0.00331348
22100,0.00220949
22600,0.00458356
23100,0.00818844
23600,0.00161464
24100,0.00411262
24600,0.00117369
25100,0.00553261
25600,0.00345273
26100,0.00404784
26600,0.00289823
27100,0.00682045
27600,0.00158789
28100,0.00243534
28600,0.00443386
29100,0.00294845
29600,0.00793214
30100,0.00286654
30600,0.00548281
31100,0.00371433
31600,0.00425655
32100,0.00415883
32600,0.00552179
33100,0.00344354
33600,0.000729984
34100,0.00569754
34600,0.000569519
35100,0.00206401
35600,0.00115342
36100,0.000877551
36600,0.00114538
37100,0.00204616
37600,0.0046517
38100,0.00170223
38600,0.00308644
39100,0.00372435
39600,0.00376592
40100,0.000807004
40600,2.82696e-05
41100,0.000221257
41600,7.60801e-05
42100,0.00295906
42600,0.00238104
43100,0.00162275
43600,0.00338992
44100,0.000497912
44600,0.00334566
45100,0.000660198
45600,0.00205556
46100,0.00117153
46600,0.00451715
47100,0.00118345
47600,0.000951009
48100,0.00241739
48600,0.0034678
49100,0.00276566
49600,0.00356749
50100,0.00236405
50600,2.33279e-05
51100,2.78239e-05
51600,0.00418288
52100,0.00104423
52600,0.000125551
53100,0.00122623
53600,4.90454e-05
54100,0.00171664
54600,0.00227817
55100,0.00415875
55600,0.000857114
56100,0.00216285
56600,0.00311974
57100,0.00248369
57600,0.000556599
58100,0.000519768
58600,0.0065067
59100,5.86411e-05
59600,0.00215141
60100,0.00491652
60600,0.00228562
61100,0.00132979
61600,0.00137595
62100,0.00147718
62600,1.15681e-05
63100,0.00089595
63600,0.00121923
64100,0.000776936
64600,0.00241192
65100,0.00285225
65600,0.00086246
66100,0.000455159
66600,0.00127394
67100,0.00317963
67600,0.00320801
68100,0.00182262
68600,0.00140494
69100,0.000631513
69600,0.00324563
70100,0.00484087
70600,0.00331676
71100,0.00398844
71600,0.00155474
72100,4.76991e-05
72600,0.00257504
73100,0.00283234
73600,0.00319585
74100,8.39875e-05
74600,0.00155472
75100,0.00140492
75600,0.000638237
76100,6.90913e-05
76600,0.000359222
77100,0.0020561
77600,0.00247057
78100,0.00154343
78600,0.00159416
79100,0.000220488
79600,0.000112211
80100,0.00228369
80600,0.00250515
81100,0.00186922
81600,0.00225309
82100,0.00120449
82600,0.000140804
83100,0.00154185
83600,0.00214848
84100,0.00177046
84600,0.00034097
85100,0.00087735
85600,0.000955945
86100,0.000212779
86600,0.0066419
87100,0.00274171
87600,0.000167871
88100,0.00124048
88600,0.00202627
89100,0.00116183
89600,0.00107411
90100,9.43224e-05
90600,0.00166399
91100,5.6601e-06
91600,0.00182561
92100,0.00234835
92600,0.00200009
93100,0.00358969
93600,0.00130137
94100,0.00230146
94600,0.000529342
95100,0.00135558
95600,0.000989466
96100,0.000813199
96600,0.000927949
97100,0.000168576
97600,0.00117702
98100,0.00122695
98600,0.0019969
99100,0.00203932
99600,0.00263717
