iterations,value
100,0.166746
600,0.215357
1100,0.045373
1600,0.0573723
2100,0.0878811
2600,0.0134357
3100,0.109237
3600,0.0101119
4100,0.0182114
4600,0.0234694
5100,0.00852331
5600,0.0311686
6100,0.0695249
6600,0.0518483
7100,0.0311841
7600,0.052895
8100,0.0144935
8600,0.00621802
9100,0.0257219
9600,0.0104801
10100,0.0392475
10600,0.0139387
11100,0.0320758
11600,0.0485721
12100,0.0630971
12600,0.013036
13100,0.00421595
13600,0.00410593
14100,0.00976907
14600,0.0270305
15100,0.0347788
15600,0.0121161
16100,0.0109506
16600,0.0496121
17100,0.0134828
17600,0.0127818
18100,0.00943383
18600,0.00471071
19100,0.0196417
19600,0.01976
20100,0.0143845
20600,0.00250828
21100,0.00409636
21600,0.0290161
22100,0.0105397
22600,0.00317598
23100,0.0163329
23600,0.0021552
24100,0.00631578
24600,0.0107024
25100,0.0230446
25600,0.00344481
26100,0.0306764
26600,0.00174635
27100,0.00925488
27600,0.0230278
28100,0.00828587
28600,0.0130792
29100,0.00103568
29600,0.00273417
30100,0.00282583
30600,0.00947646
31100,0.0238841
31600,0.00830011
32100,0.0234887
32600,0.00182787
33100,0.0256404
33600,0.00888871
34100,0.0221972
34600,0.00296959
35100,0.0216028
35600,0.00311798
36100,0.0135082
36600,0.0230393
37100,0.00358761
37600,0.010631
38100,0.0246143
38600,0.000512897
39100,0.0142694
39600,0.0228783
40100,0.0149743
40600,0.020752
41100,0.0163016
41600,0.00829888
42100,0.0117926
42600,0.01058
43100,0.0202525
43600,0.000938237
44100,0.00543029
44600,0.0165792
45100,0.00248317
45600,0.0207011
46100,0.018628
46600,0.0162218
47100,0.00416513
47600,0.0115609
48100,0.00182461
48600,0.021095
49100,0.00675678
49600,0.0118195
50100,0.00343958
50600,0.00266125
51100,0.0105733
51600,0.0175228
52100,0.0210076
52600,0.000582807
53100,0.00792257
53600,0.0084698
54100,0.00375227
54600,0.0100684
55100,0.0102283
55600,0.0133954
56100,0.00800341
56600,0.00184789
57100,0.00669714
57600,0.0021789
58100,0.00761627
58600,0.0093008
59100,0.000927138
59600,0.0055807
60100,0.00326975
60600,0.0071612
61100,0.025787
61600,0.00260635
62100,0.00361482
62600,0.00253689
63100,0.0102859
63600,0.0131744
64100,0.0131032
64600,0.00166035
65100,0.013957
65600,0.00253706
66100,0.00386909
66600,3.94137e-05
67100,0.00475901
67600,0.0136022
68100,0.0208429
68600,0.0145163
69100,0.00631052
69600,0.00359322
70100,0.0146039
70600,0.00208285
71100,0.00349362
71600,0.0165692
72100,0.0120547
72600,0.00725507
73100,0.00675001
73600,0.0171289
74100,0.00195545
74600,0.00410785
75100,0.015657
75600,0.0102069
76100,0.0124936
76600,0.0136082
77100,0.0129071
77600,0.0119105
78100,0.0125095
78600,0.00495809
79100,0.0122492
79600,0.00363534
80100,0.00228321
80600,0.0109299
81100,0.00899538
81600,0.0101823
82100,0.00199966
82600,0.0139699
83100,0.0191009
83600,0.014439
84100,0.00455657
84600,0.00873287
85100,0.00703366
85600,0.0112278
86100,0.0220506
86600,0.0026151
87100,0.0129334
87600,0.00448874
88100,0.0112538
88600,0.00948112
89100,0.00325468
89600,0.00284854
90100,0.0128754
90600,0.00290818
91100,0.00143798
91600,0.00244646
92100,0.014818
92600,0.00180597
93100,0.0179847
93600,0.0106312
94100,0.00329871
94600,0.0068339
95100,0.00287056
95600,0.00627005
96100,0.00902716
96600,0.00273689
97100,0.00604571
97600,0.0125469
98100,0.0123417
98600,0.0134205
99100,0.000459524
99600,0.00168474
